p,d,q,P,D,Q,aic
1,0,6,0,1,1,9614.541041474151
0,1,6,0,1,1,9616.284255176182
2,0,6,0,1,1,9623.026317570115
0,0,6,0,1,1,9623.609232304148
1,0,5,0,1,1,9627.823511453786
0,1,5,0,1,1,9629.176491349961
1,1,5,0,1,1,9633.221710840182
1,0,4,0,1,1,9640.204570915022
0,0,5,0,1,1,9640.529880736707
2,0,4,0,1,1,9641.030926304247
0,1,4,0,1,1,9643.598344703212
1,1,4,0,1,1,9648.63613439085
1,1,3,0,1,1,9649.11840966546
1,0,3,0,1,1,9652.567517414976
3,0,3,0,1,1,9655.088192474708
0,0,4,0,1,1,9656.119984197303
0,1,3,0,1,1,9658.662909421182
2,1,2,0,1,1,9662.784229276207
1,1,2,0,1,1,9663.434893335849
3,1,2,0,1,1,9666.084951860092
1,0,2,0,1,1,9666.703613566982
6,1,2,0,1,1,9667.855686499766
2,0,2,0,1,1,9669.208822022101
0,2,3,0,1,1,9671.264895817272
3,1,5,0,1,1,9674.508334113776
1,1,6,0,1,1,9675.616911175166
2,1,1,0,1,1,9675.638276193007
6,0,2,0,1,1,9676.914916285585
4,1,1,0,1,1,9677.161176325993
0,0,3,0,1,1,9677.272974151234
5,1,1,0,1,1,9677.322920633724
3,1,1,0,1,1,9677.487896316903
6,1,1,0,1,1,9679.248959310675
2,0,5,0,1,1,9679.703789471714
2,0,1,0,1,1,9679.895623437878
3,0,1,0,1,1,9680.87773664314
1,0,1,0,1,1,9681.114273261068
4,0,1,0,1,1,9682.469707158267
0,2,2,0,1,1,9683.548462935241
6,0,1,0,1,1,9685.251313602072
5,0,1,0,1,1,9686.979913261493
0,1,2,0,1,1,9689.989901153636
5,0,6,0,1,1,9690.23344789746
2,1,6,0,1,1,9690.984446896564
6,0,6,0,1,1,9692.24930206379
3,0,6,0,1,1,9692.976177643515
2,0,0,0,1,1,9693.523772955086
3,0,0,0,1,1,9694.646764243942
4,0,0,0,1,1,9694.94600419125
5,0,0,0,1,1,9695.111851473368
3,0,5,0,1,1,9695.352633535458
3,1,6,0,1,1,9695.810721698923
4,0,6,0,1,1,9696.737387131063
6,0,0,0,1,1,9697.042714777996
6,1,6,0,1,1,9697.26798956667
5,1,6,0,1,1,9698.525636465556
1,1,1,0,1,1,9700.849287251285
4,1,6,0,1,1,9701.228829485543
6,2,1,0,1,1,9701.536187378704
0,1,1,0,1,1,9703.29236413126
5,2,1,0,1,1,9704.261180074356
0,0,2,0,1,1,9704.6127428451
4,2,1,0,1,1,9707.474375974823
6,0,5,0,1,1,9707.77637336911
5,0,5,0,1,1,9709.284267743224
4,0,5,0,1,1,9712.497242071719
2,1,5,0,1,1,9712.76347835911
2,0,3,0,1,1,9713.055468287874
6,0,4,0,1,1,9714.026600248115
3,0,4,0,1,1,9717.214700075714
6,1,5,0,1,1,9719.029127616192
3,2,1,0,1,1,9719.089540446319
4,1,5,0,1,1,9720.058875447166
6,1,0,0,1,1,9721.96965494509
