,0
lag_1,0.12366222
rollmean_3,0.084662735
hour_cos,0.050234497
hour_sin,0.03963924
rollstd_3,0.03880355
lag_24,0.029603198
lag_2,0.027075386
rollmean_168,0.027054239
dow_sin,0.025432134
dow_cos,0.023197327
rollstd_24,0.022311494
lag_168,0.022196662
lag_3,0.022091819
T7,0.021929573
RH_9,0.0214861
RH_3,0.020586954
rollstd_168,0.020493165
RH_6,0.019724322
T5,0.019397542
Tdewpoint,0.019095406
T_out,0.01859028
Windspeed,0.018198524
RH_4,0.017811628
Visibility,0.017651973
RH_out,0.017602423
RH_7,0.01741809
RH_8,0.017281322
T9,0.01713431
is_weekend,0.016477706
T4,0.016397517
rollmean_24,0.015902366
RH_5,0.015792374
T8,0.015346634
T6,0.015228821
month,0.014519371
T3,0.01337065
T2,0.013155773
Press_mm_hg,0.012838958
RH_2,0.011875407
RH_1,0.010939271
T1,0.007789057
